SN,title,year,abstract,doi,keywords,Domain Filter,Transparency and Trust,,,Location,Ethical keywords
rayyan-319317578,The current clinical practice and experiences in buccal midazolam prescribing in community for status epilepticus termination in the United Kingdom: The Rescue Epilepsy Medication and Training (REMIT) study,2025,"Background     Epilepsy is one of the commonest neurological conditions worldwide and confers a significant mortality risk, partly driven by status epilepticus (SE). Terminating SE is the goal of pharmaceutical rescue therapies. This survey evaluates UK-based healthcare professionals’ clinical practice and experience in community-based rescue therapy prescribing.     Methods     A cross-sectional, 21 item questionnaire composed of Likert-style and free-text based questions was administered online. It was distributed through a non-discriminative snow-balling methodology to members of the Epilepsy Specialist Nurses’ Association (ESNA) and the British International League Against Epilepsy (ILAE). Quantitative analysis used Chi-squared, Fishers’ exact and Mann-Whitney tests. Qualitative data were analysed through NVivo 14 software, following Braun and Clarke methodology.     Results     86 participants comprising of nurses (n = 64) and doctors (n = 21) responded. Participants’ responses reflected guideline-concordant use of emergency management plans and buccal midazolam (BM) as a first-choice therapy for terminating tonic-clonic seizures in SE. However, significant variation (P < 0.05) was found between doctors and nurses in prescribing practices of BM including maximum dose prescribed/day, withdrawal plans and the use in multimorbid patients. Eight themes were identified with some suggestive of concerns of overuse, misuse and abuse of BM by patients/carers.     Conclusion     This is the first study to give insights to community management of SE using rescue therapies particularly BM. Further evidence-based guidelines are needed for BM use in multimorbid patients and for its deprescribing. Robust safeguarding protocols and vigilance is needed to regulate BM's misuse and abuse potential. Oncoming community-based technology could provide objective assurance for evidencing utility of rescue medications.",https://doi.org/10.1016/j.seizure.2024.12.022,Epilepsy mortality;Epilepsy risk;Rescue therapy;Benzodiazepine;Seizures,Health,Yes,ScienceDirect,,United Kingdom,"regulat, guideline, robust, safe, risk, assurance"
rayyan-319317581,Validation of the trait emotional intelligence questionnaire – Adolescent short form (TEIQue-ASF) among adolescents in Vietnam,2025,"Emotional Intelligence (EI) is the knowledge, beliefs, and attitudes an individual has about their own and other people's emotions. EI is considered a protector against mental illness and potentially increases mental health. Petrides' Trait Emotional Intelligence Questionnaire (TEIQue) is validated among adults globally. However, there is little data yet about its use among Asian countries. This study aims to translate and culturally verify the Trait Emotional Intelligence Adolescent Short Form (TEIQue-ASF) and investigate content validity, construct validity, and reliability targeting answering the research question of whether TEIQue-ASF can be used to measure EI among Vietnamese high school adolescents. The content of the TEIQue-ASF was translated (English to Vietnamese) and back-translated (Vietnamese to English) in consultation with bilingual and bicultural health researchers and pilot-tested among 51 potential respondents. Phraseology and wording were then adjusted, and the final version is named the TEIQue-ASF-VN. The TEIQue-ASF-VN's properties were investigated in a cross-sectional self-report survey among high school students in Central Vietnam. In total, 1593/1686 (94.5%) eligible students (age range 15–18) from nine high schools in rural, urban, and coastline areas completed the survey. Explanatory Factor Analysis (EFA) with Oblimin rotation yielded a four-factor solution with all factor loadings above .30. Some facets loaded differently than the original version. The differences in cultural values between Vietnam and Western countries might lead to this partial duplication. Cronbach's alpha of the global score for the TEIQue-ASF-VN was .77. The TEIQue-ASF Vietnamese version is understandable, has good content, and constructs validity and reliability among adolescents in Vietnam. This study contributes to the broader understanding of the applicability and reliability of EI measures across diverse cultural settings. It recommends using the TEIQue-ASF Vietnamese version in schools or communities and studying education, psychology, and public health to investigate trait EI in Vietnam.",https://doi.org/10.1016/j.ssmmh.2025.100413,Psychology;Adolescent;Construct validity;Factor analysis;Trait emotional intelligence;Vietnam,Health,Yes,ScienceDirect,,Vietnam,"report, reliab, valid"
rayyan-319317582,Design-based research and design thinking in the Fab Lab: Developing an intervention to spark empowering making activities among children and adolescents,2025,"To thrive in a rapidly changing world, children need opportunities to develop agency. Fab Labs and makerspaces, equipped with digital fabrication tools, offer empowering settings where children can design and build their own creations while developing STEM competencies. This study investigates how making activities in such settings can foster agency by engaging children as active participants in a co-creative and participatory intervention grounded in Self-Determination Theory. Using a design-based research approach, three iterations of a four-week workshop series were conducted with N = 66 children and adolescents aged 9–13. Design thinking provided a guiding structure for children to generate and pursue their own ideas and for mentors to support the open-ended processes. Findings show that participants successfully engaged in self-directed and independent making activities, experienced agency, and continued their engagement. The study demonstrates the potential of Fab Labs to foster self-regulation and highlights the importance of iterative, participatory approaches for developing empowering interventions. It contributes to promoting equity in informal STEM education and offers both theoretical and practical implications, as well as further avenues for research.",https://doi.org/10.1016/j.ijcci.2025.100763,Making activities;Fab Lab;Design thinking;Design-based research;Self-Determination theory,Technology,Yes,ScienceDirect,,Germany,"regulat, equity, depend"
rayyan-319317583,Audit partners' and associates’ insights and experiences of remote work in response to a global crisis Event: Implications for the profession and future directions,2025,"Remote work was forced upon employees due to a worldwide crisis event. As some form of remote work continues, we draw upon psychology research which identifies four areas of concern: unemployment and job insecurity, employment disparities, work-family interface, and employee mental health issues. We adapt a conceptual framework to evaluate the negative effects caused by disruptive events and respective problem-focused mitigation strategies implemented by audit firms. The results of semi-structured interviews with audit partners and associates reveal the greatest overall concern for audit partners is employee mental health issues, with associates reporting inconsistent effectiveness of improvement tactics. Work-family interface remains a challenge, and even more so during a crisis event. Regarding employment disparities and development, all agree the apprenticeship model suffers in a remote environment. The area of least overall concern is unemployment and job insecurity. However, for audit partners, the greatest employment issue is hiring and retention. The findings emphasize the need for audit firms to invest in strategies to mitigate these effects of remote work and for additional research that evaluates and supports these efforts.",https://doi.org/10.1016/j.bar.2025.101701,Remote auditing;Crisis events;Auditor unemployment;Mental health;Work-family interface;Employment disparities;Qualitative research,Health,Yes,ScienceDirect,,United States,"audit, report, framework, consistent"
rayyan-319317584,Transdiagnostic study of dynamic brain activity and connectivity among people with gambling and internet gaming disorders,2025,"Despite both internet gaming disorder (IGD) and gambling disorder (GD) being officially recognized as medical conditions by the World Health Organization, controversies persist. A transdiagnostic study may help inform classification and intervention approaches. IGD and GD may share or have distinct neural and behavioral features. To investigate, resting-state functional magnetic resonance imaging (fMRI) and self-reported behavioral data were collected from 58 individuals with GD, 31 with IGD, and 83 healthy control (HC) participants. After controlling for demographics, both GD and IGD groups scored lower on measures of gambling-related positive play. Neural data revealed reduced brain connectivity in the right rectus/orbital frontal gyrus in GD and IGD groups compared to HC participants. IGD participants displayed increased dynamic brain activity in the left triangular inferior frontal gyrus compared with GD and HC participants. Relatively decreased modular flexibility was also observed in GD but not IGD participants, relative to HC participants. Multiclass classification results showed that the indicators of gambling-related positive play, as well as dynamic brain activity and connectivity patterns, were useful for classifying GD, IGD, and HC participants, outperforming the use of either neural signals or self-report indicators alone. The shared phenotypes of GD and IGD groups provide insight into common features of behavioral addictions, and the combination of self-report and neural measures may provide the most robust approach for classification of diagnostic groups.",https://doi.org/10.1016/j.ijchp.2025.100547,Gambling;Video games;Addictive behaviors;Impulsive behaviors;Compulsive behaviors;Resting-state;fMRI,Health,Yes,ScienceDirect,,Macau (China),"report, robust"
rayyan-319317587,The bioSocial Cognitive Theory of eating (bSCT-e): Applying and elaborating on a biopsychosocial substance use theory for food addiction,2025,"Obesity rates are increasing globally, and food addiction (FA1) may be an important contributing factor but there is a lack of understanding of the key psychological mechanisms that contribute to FA. The bioSocial Cognitive Theory (bSCT) proposes that substance use is predicted by biologically based personality traits and their influence on social cognitive mechanisms. While validated in substance use, bSCT has not been applied to a behavioural or non-substance addiction. However, the bSCT does not include a negative affective personality component, of which there is clear theoretical and empirical support as risk factors for FA. Thus, this study sought to test both the original bSCT model and an elaborated version related to eating (bSCT-e) that included direct and indirect punishment sensitivity pathways to identify the individual risk factors of FA. Data were collected from 204 university students (75.5% female; Mage = 24.82, SD = 9.17) via an online survey. Both original bSCT and bSCT-e models provided a good fit to the data, with the latter providing slightly better fit and accounting for more variance in FA. The findings suggest that individuals who are more reward driven and punishment sensitive hold exaggerated beliefs about the reinforcing and emotion regulation effects of eating, which may undermine eating control and increase risk of FA. This study provides potential new insights into the complex biopsychosocial mechanisms of FA, and points to potential intervention targets.",https://doi.org/10.1016/j.appet.2024.107750,Food addiction;Expectancies;Self-efficacy;Impulsivity;Behavioural inhibition system (BIS);Behavioural approach system (BAS),Health,Yes,ScienceDirect,,Australia,"regulat, risk, valid"
rayyan-325715226,Incorporating the Concepts of Fairness and Bias into an Undergraduate Computer Science Course to Promote Fair Automated Decision Systems - Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V. 2,2022,"Data bias and algorithmic bias are the primary contributing factors for fairness-related risks in AI-based decision-making. The concept of fairness is comparatively new and is sometimes only discussed in detail in graduate-level courses such as Ethics of Artificial Intelligence, and Ethics and Governance of Artificial Intelligence. In addition, at the undergraduate level, a standalone course on fairness is not feasible due to the level of difficulty and the many other essential courses that need to be broached in a university's computer science curriculum. Therefore, instead of a standalone course, we have created a concise, high-level concept module on bias and fairness in automated decisions, with (1) lecture material, (2) demonstrations, and (3) assignments (i.e., exercises) on real-world datasets.",10.1145/3478432.3499043,artificial intelligence;automated decision-making;bias;fairness,Education,Yes,ACM,,"United States (West Hartford, Connecticut)","ethic, govern, fair, bias, risk"
rayyan-325715364,"Invigorating Ubuntu Ethics in AI for healthcare: Enabling equitable care - Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",2023,"The use of artificial intelligence (AI) in healthcare has the potential to improve patient outcomes and increase efficiency in the delivery of care. However, the design, deployment and use of AI in healthcare must be guided by a set of ethical principles that prioritize the well-being of patients and the community, and ensure that care is delivered equitably. A growing body of literature on algorithmic injustice illustrates that AI systems in healthcare have the potential to cause social harm, especially to vulnerable communities. Existing ethical principles in healthcare are based on, and mostly influenced by, Western epistemology, which emphasizes individual rights, often at the expense of collective well-being. The African philosophy of Ubuntu, which emphasises the interconnectedness and interdependence of all people, is an attractive framework for addressing ethical concerns in AI for healthcare because healthcare is intrinsically a community-wide issue. This paper discusses the relevance of Ubuntu ethics in the context of AI for healthcare and proposes principles to reinvigorate the spirit of “I am because we are” in design, deployment and use. These principles are fairness, community good, safeguarding humanity, respect for others and trust, and we believe their application will support co-designing, deploying and using inclusive AI systems that will enable clinicians to deliver equitable care for all. Highlighting the relational aspect of Ubuntu, this paper not only calls for rethinking AI ethics in healthcare but also endorses discussions about the need for non-Western ethical approaches to be utilised in AI ethics more broadly.",10.1145/3593013.3594024,algorithmic fairness;algorithmic trust;equitable care;relational ethics,Technology,Yes,ACM,,South Africa,"ethic, framework, fair, depend, trust, safe"
rayyan-325715367,Explainable Deep Reinforcement Learning: State of the Art and Challenges,2022,"Interpretability, explainability, and transparency are key issues to introducing artificial intelligence methods in many critical domains. This is important due to ethical concerns and trust issues strongly connected to reliability, robustness, auditability, and fairness, and has important consequences toward keeping the human in the loop in high levels of automation, especially in critical cases for decision making, where both (human and the machine) play important roles. Although the research community has given much attention to explainability of closed (or black) prediction boxes, there are tremendous needs for explainability of closed-box methods that support agents to act autonomously in the real world. Reinforcement learning methods, and especially their deep versions, are such closed-box methods. In this article, we aim to provide a review of state-of-the-art methods for explainable deep reinforcement learning methods, taking also into account the needs of human operators—that is, of those who make the actual and critical decisions in solving real-world problems. We provide a formal specification of the deep reinforcement learning explainability problems, and we identify the necessary components of a general explainable reinforcement learning framework. Based on these, we provide a comprehensive review of state-of-the-art methods, categorizing them into classes according to the paradigm they follow, the interpretable models they use, and the surface representation of explanations provided. The article concludes by identifying open questions and important challenges.",10.1145/3527448,Deep learning;deep reinforcement learning;interpretability;explainability;transparency,Technology,Yes,ACM,,Not location-specific (Review; Greece affiliation),"explain, interpret, ethic, audit, framework, review, fair, reliab, robust, trust"
rayyan-325715368,Exploration on Integrating Accessibility into an AI Course - Proceedings of the 53rd ACM Technical Symposium on Computer Science Education - Volume 1,2022,"Understanding accessibility and how it relates to artificial intelligence (AI)-based technology is an imperative skill for computing students from both an ethical and employment standpoint. Unfortunately, AI courses do not typically cover accessibility. When teaching ethics in AI, discussions on bias and fairness cover user diversity in terms of gender and race, but not disability. To address the lack of teaching accessibility in AI courses, we conducted a pilot study to explore what and how accessibility topics can be integrated into an AI course, titled Natural Language Processing (NLP). We added to the NLP course some general and quick accessibility topics through means such as a short guest lecture, a programming assignment and a final project that connect accessibility and AI. We gathered student feedback through a pre-survey, a post-survey and interviews with five students. The course we looked at took place synchronously in an online setting using Zoom. In this context, we observed how implementing accessibility topics remotely into the course affected students in their knowledge of accessibility and disability.",10.1145/3478431.3499399,accessibility;artificial intelligence;computing education,Technology,Yes,ACM,,"United States (Bellingham, Washington)","ethic, fair, bias"
